seldonio/seldon-core,https://github.com/SeldonIO/seldon-core/blob/v2/LICENSE,Business Source License 1.1,https://raw.githubusercontent.com/SeldonIO/seldon-core/v2/LICENSE
AdaLogics/go-fuzz-headers,https://github.com/AdaLogics/go-fuzz-headers/blob/main/LICENSE,Apache License 2.0,https://raw.githubusercontent.com/AdaLogics/go-fuzz-headers/main/LICENSE
AlecAivazis/survey,https://github.com/AlecAivazis/survey/blob/master/LICENSE,MIT License,https://raw.githubusercontent.com/AlecAivazis/survey/master/LICENSE
Azure/azure-sdk-for-go,https://github.com/Azure/azure-sdk-for-go/blob/main/LICENSE.txt,MIT License,https://raw.githubusercontent.com/Azure/azure-sdk-for-go/main/LICENSE.txt
Azure/go-ansiterm,https://github.com/Azure/go-ansiterm/blob/master/LICENSE,MIT License,https://raw.githubusercontent.com/Azure/go-ansiterm/master/LICENSE
Azure/go-autorest,https://github.com/Azure/go-autorest/blob/main/LICENSE,Apache License 2.0,https://raw.githubusercontent.com/Azure/go-autorest/main/LICENSE
AzureAD/microsoft-authentication-library-for-go,https://github.com/AzureAD/microsoft-authentication-library-for-go/blob/main/LICENSE,MIT License,https://raw.githubusercontent.com/AzureAD/microsoft-authentication-library-for-go/main/LICENSE
BurntSushi/toml,https://github.com/BurntSushi/toml/blob/master/COPYING,MIT License,https://raw.githubusercontent.com/BurntSushi/toml/master/COPYING
BurntSushi/xgb,https://github.com/BurntSushi/xgb/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,https://raw.githubusercontent.com/BurntSushi/xgb/master/LICENSE
Masterminds/semver,https://github.com/Masterminds/semver/blob/master/LICENSE.txt,MIT License,https://raw.githubusercontent.com/Masterminds/semver/master/LICENSE.txt
Microsoft/go-winio,https://github.com/microsoft/go-winio/blob/main/LICENSE,MIT License,https://raw.githubusercontent.com/microsoft/go-winio/main/LICENSE
Microsoft/hcsshim,https://github.com/microsoft/hcsshim/blob/main/LICENSE,MIT License,https://raw.githubusercontent.com/microsoft/hcsshim/main/LICENSE
NYTimes/gziphandler,https://github.com/nytimes/gziphandler/blob/master/LICENSE,Apache License 2.0,https://raw.githubusercontent.com/nytimes/gziphandler/master/LICENSE
OneOfOne/xxhash,https://github.com/OneOfOne/xxhash/blob/master/LICENSE,Apache License 2.0,https://raw.githubusercontent.com/OneOfOne/xxhash/master/LICENSE
PuerkitoBio/purell,https://github.com/PuerkitoBio/purell/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,https://raw.githubusercontent.com/PuerkitoBio/purell/master/LICENSE
PuerkitoBio/urlesc,https://github.com/PuerkitoBio/urlesc/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,https://raw.githubusercontent.com/PuerkitoBio/urlesc/master/LICENSE
Shopify/sarama,https://github.com/IBM/sarama/blob/main/LICENSE.md,MIT License,https://raw.githubusercontent.com/IBM/sarama/main/LICENSE.md
Shopify/toxiproxy,https://github.com/Shopify/toxiproxy/blob/main/LICENSE,MIT License,https://raw.githubusercontent.com/Shopify/toxiproxy/main/LICENSE
acarl005/stripansi,https://github.com/acarl005/stripansi/blob/master/LICENSE,MIT License,https://raw.githubusercontent.com/acarl005/stripansi/master/LICENSE
actgardner/gogen-avro,https://github.com/actgardner/gogen-avro/blob/master/LICENSE,MIT License,https://raw.githubusercontent.com/actgardner/gogen-avro/master/LICENSE
alecthomas/jsonschema,https://github.com/alecthomas/jsonschema/blob/master/COPYING,MIT License,https://raw.githubusercontent.com/alecthomas/jsonschema/master/COPYING
alecthomas/kingpin,https://github.com/alecthomas/kingpin/blob/master/COPYING,MIT License,https://raw.githubusercontent.com/alecthomas/kingpin/master/COPYING
alecthomas/template,https://github.com/alecthomas/template/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License,https://raw.githubusercontent.com/alecthomas/template/master/LICENSE
alecthomas/units,https://github.com/alecthomas/units/blob/master/COPYING,MIT License,https://raw.githubusercontent.com/alecthomas/units/master/COPYING
antihax/optional,https://github.com/antihax/optional/blob/master/LICENSE,MIT License,https://raw.githubusercontent.com/antihax/optional/master/LICENSE
antlr/antlr4,https://github.com/antlr/antlr4/blob/dev/LICENSE.txt,BSD 3-Clause "New" or "Revised" License,https://raw.githubusercontent.com/antlr/antlr4/dev/LICENSE.txt
